image,title,rate,data
"https://m.media-amazon.com/images/M/MV5BZmU1ZTRmOTctODMyYy00NzRmLWEzNTQtYTIyM2JkOGE1ZTkxXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg",1. Deadpool & Wolverine,Weekend Gross: $97MTotal Gross: $421MWeeks Released: 2,8.1 (179K)
"https://m.media-amazon.com/images/M/MV5BZTQ0YjZhNzMtMzMwYi00YTQwLTlhYTgtNDBlZjRhYjJmMzJmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",2. Twisters,Weekend Gross: $23MTotal Gross: $202MWeeks Released: 3,7.1 (44K)
"https://m.media-amazon.com/images/M/MV5BMzJiN2UyZjgtMjQ3MS00MDhhLTg5ZDItZmVjMTU3MTcwNzE4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",3. Trap,Weekend Gross: $15MTotal Gross: $19MWeeks Released: 1,6.2 (10K)
"https://m.media-amazon.com/images/M/MV5BOTk4MjFhZTMtOWIxOS00YzE2LThkZGEtMzg0MDAyMmFiZmU1XkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_QL75_UX140_CR0,1,140,207_.jpg",4. Despicable Me 4,Weekend Gross: $11MTotal Gross: $319MWeeks Released: 5,6.2 (23K)
"https://m.media-amazon.com/images/M/MV5BYTc1MDQ3NjAtOWEzMi00YzE1LWI2OWUtNjQ0OWJkMzI3MDhmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",5. Insaideu aus 2,Weekend Gross: $6.8MTotal Gross: $629MWeeks Released: 8,7.8 (94K)
"https://m.media-amazon.com/images/M/MV5BZGE3MmYxOTgtMGY1Ni00ZWQ4LTlhNjAtMzcxYjIzMjcwN2U1XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",6. Harold and the Purple Crayon,Weekend Gross: $6MTotal Gross: $8.2MWeeks Released: 1,5.7 (809)
"https://m.media-amazon.com/images/M/MV5BMmVkZWY2ODEtYTMyYy00MDg2LWFkMGUtMjYwOTBhOGViODQzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",7. Longlegs,Weekend Gross: $4.2MTotal Gross: $68MWeeks Released: 4,7.1 (41K)
"https://m.media-amazon.com/images/M/MV5BMDRlOTg5ZDktMTliNS00YjY1LWFmYTItMDE3Yjk0NDI2NDAwXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg",8. A Quiet Place: Day One,Weekend Gross: $1.4MTotal Gross: $138MWeeks Released: 6,6.4 (65K)
"https://m.media-amazon.com/images/M/MV5BODlkYjYxNzktYmJjYi00ZTVkLWJhZDctODY3NjFiYTJlOGYyXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",9. The Firing Squad,Weekend Gross: $893KTotal Gross: $893KWeeks Released: 1,6.3 (913)
"https://m.media-amazon.com/images/M/MV5BNDRmYzk3MTYtYjBjYS00MTI0LTk3ZTItYmMwZDlmOGJjZmUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_QL75_UY207_CR3,0,140,207_.jpg",10. Gake no ue no Ponyo,Weekend Gross: $800KTotal Gross: $17MWeeks Released: 1,7.6 (167K)
